model,val_loss
resnet34_v2,0.4972200890382131
resnet18_v2,0.5078153510888418
resnet152_v1,0.6772272189458212
resnet50_v1,0.7524495720863342
resnet34_v1,0.7814714312553406
vgg16_bn,0.7888141870498657
vgg19_bn,0.799237589041392
vgg11_bn,0.8299247622489929
resnet18_v1,0.843564510345459
resnet101_v1,0.8530370990435282
vgg13_bn,0.8742475112279257
alexnet,0.9692982832590739
squeezenet1.0,0.9807057579358419
squeezenet1.1,1.0228662292162578
inceptionv3,1.0326079527537029
vgg19,1.091732641061147
densenet201,1.1217530965805054
vgg16,1.1551291545232136
densenet169,1.159197251001994
densenet161,1.218744158744812
vgg11,1.2438867886861165
densenet121,1.342904766400655
vgg13,1.4020016590754192
